,Date,Team,Score,Opponent,Opponent Score,Location,Spread,OU,Win Percent
0,2023-11-24,Clemson,80.7900743946859,Alcorn St.,61.65583648703195,0,19.134237907653954,142.44591088171785,0.0
0,2023-11-24,Ball St.,77.52962646571237,Arkansas Pine Bluff,65.33060568558332,0,12.199020780129047,142.8602321512957,0.0
0,2023-11-24,Dayton,75.27735636081643,Youngstown St.,64.1407321726652,0,11.136624188151231,139.41808853348164,0.0
0,2023-11-24,Washington St.,76.46164486550579,Utah Tech,64.51191596694844,0,11.949728898557353,140.9735608324542,0.0
0,2023-11-24,Saint Mary's,73.0072708819161,Davidson,60.60665240015517,0,12.40061848176093,133.61392328207126,0.0
0,2023-11-24,Cal St. Northridge,73.70846491736665,Mississippi Valley St.,61.898362610665544,0,11.810102306701111,135.6068275280322,0.0
0,2023-11-24,Illinois Chicago,67.43451784809034,Middle Tennessee,72.81976072535312,1,-5.385242877262783,140.25427857344346,0.958
0,2023-11-24,San Diego,68.84384388808206,Arkansas St.,72.72349302171092,1,-3.8796491336288597,141.56733690979297,0.891
0,2023-11-24,Chattanooga,78.29816189031963,Evansville,67.19376479848614,0,11.10439709183349,145.4919266888058,0.0
0,2023-11-24,Providence,80.39298190659203,Lehigh,61.95629939691622,0,18.436682509675805,142.34928130350823,0.0
0,2023-11-24,Wake Forest,81.94390354455116,Charleston Southern,61.353759258217785,0,20.590144286333377,143.29766280276894,0.0
0,2023-11-24,Xavier,84.2908848635112,Bryant,64.62728135710188,0,19.663603506409316,148.91816622061307,0.0
0,2023-11-24,Robert Morris,64.9577528485243,Jacksonville,64.19366719264005,0,0.7640856558842444,129.15142004116433,0.402
0,2023-11-24,Alabama St.,68.15088257416504,North Carolina A&T,67.81413532587962,1,0.3367472482854197,135.96501790004464,0.447
0,2023-11-24,Indiana St.,77.73662955845911,Toledo,75.66418480456326,1,2.0724447538958515,153.4008143630224,0.244
0,2023-11-24,Southeastern Louisiana,74.96376277320914,Western Michigan,68.54264957693782,1,6.421113196271321,143.50641235014695,0.016
0,2023-11-24,Lamar,69.06558967569627,Bethune Cookman,67.14923412751418,1,1.9163555481820964,136.21482380321044,0.25
0,2023-11-24,Bowling Green,72.49507192942103,Western Kentucky,73.98110252704112,1,-1.4860305976200863,146.47617445646216,0.728
0,2023-11-24,UNC Asheville,73.21725709249257,Lipscomb,71.02134553328303,1,2.1959115592095486,144.2386026257756,0.228
0,2023-11-24,Duke,86.95216448881588,Southern Indiana,57.48864127248107,0,29.463523216334814,144.44080576129696,0.0
0,2023-11-24,Samford,74.99252124602147,Merrimack,59.349703846870206,0,15.642817399151262,134.34222509289168,0.0
0,2023-11-24,UTSA,72.17767668974984,Jacksonville St.,69.57276149626247,0,2.604915193487372,141.75043818601233,0.184
0,2023-11-24,Georgia,78.82396766910527,Winthrop,65.48606619229918,0,13.337901476806096,144.31003386140446,0.0
0,2023-11-24,Hawaii,72.38880517210576,UT Rio Grande Valley,66.63454195684703,1,5.754263215258732,139.0233471289528,0.042
0,2023-11-24,Kentucky,83.85598787514287,Marshall,66.12523560546363,0,17.730752269679243,149.9812234806065,0.0
0,2023-11-24,Troy,70.87317857200978,Grambling St.,64.9629487317731,0,5.910229840236681,135.83612730378286,0.041
0,2023-11-24,LSU,82.18032441783656,North Florida,61.7958783815409,0,20.384446036295657,143.97620279937746,0.0
0,2023-11-24,Mississippi St.,80.6151103853661,Nicholls St.,55.22614145322762,0,25.388968932138475,135.8412518385937,0.0
0,2023-11-24,Canisius,69.61665552281492,Wofford,70.0121461295006,1,-0.3954906066856694,139.62880165231553,0.542
0,2023-11-24,Alabama A&M,64.24487615923846,East Tennessee St.,70.0921352152624,1,-5.847259056023944,134.33701137450086,0.983
0,2023-11-24,Santa Clara,67.82389134049711,Oregon,77.30989936634553,1,-9.48600802584842,145.13379070684266,1.0
